code,country,EIU21VA,EIU21PV,EIU21GE,EIU21RQ,EIU21RL,EIU21CC,EIU20VA,EIU20PV,EIU20GE,EIU20RQ,EIU20RL,EIU20CC,EIU19VA,EIU19PV,EIU19GE,EIU19RQ,EIU19RL,EIU19CC,EIU18VA,EIU18PV,EIU18GE,EIU18RQ,EIU18RL,EIU18CC,EIU17VA,EIU17PV,EIU17GE,EIU17RQ,EIU17RL,EIU17CC,EIU16VA,EIU16PV,EIU16GE,EIU16RQ,EIU16RL,EIU16CC,EIU15VA,EIU15PV,EIU15GE,EIU15RQ,EIU15RL,EIU15CC,EIU14VA,EIU14PV,EIU14GE,EIU14RQ,EIU14RL,EIU14CC,EIU13VA,EIU13PV,EIU13GE,EIU13RQ,EIU13RL,EIU13CC,EIU12VA,EIU12PV,EIU12GE,EIU12RQ,EIU12RL,EIU12CC,EIU11VA,EIU11PV,EIU11GE,EIU11RQ,EIU11RL,EIU11CC,EIU10VA,EIU10PV,EIU10GE,EIU10RQ,EIU10RL,EIU10CC,EIU09VA,EIU09PV,EIU09GE,EIU09RQ,EIU09RL,EIU09CC,EIU08VA,EIU08PV,EIU08GE,EIU08RQ,EIU08RL,EIU08CC,EIU07VA,EIU07PV,EIU07GE,EIU07RQ,EIU07RL,EIU07CC,EIU06VA,EIU06PV,EIU06GE,EIU06RQ,EIU06RL,EIU06CC,EIU05VA,EIU05PV,EIU05GE,EIU05RQ,EIU05RL,EIU05CC,EIU04VA,EIU04PV,EIU04GE,EIU04RQ,EIU04RL,EIU04CC,EIU03VA,EIU03PV,EIU03GE,EIU03RQ,EIU03RL,EIU03CC,EIU02VA,EIU02PV,EIU02GE,EIU02RQ,EIU02RL,EIU02CC,EIU00VA,EIU00PV,EIU00GE,EIU00RQ,EIU00RL,EIU00CC,EIU98VA,EIU98PV,EIU98GE,EIU98RQ,EIU98RL,EIU98CC,EIU96VA,EIU96PV,EIU96GE,EIU96RQ,EIU96RL,EIU96CC
ABW,Aruba,0.750,0.800,0.625,0.700,0.844,0.500,0.813,0.750,0.625,0.700,0.844,0.750,0.813,0.750,0.625,0.700,0.844,0.750,0.813,0.750,0.625,0.700,0.844,0.750,0.813,0.800,0.625,0.850,0.844,0.750,0.813,0.800,0.625,0.900,0.844,0.750,0.813,0.800,0.625,0.900,0.844,0.750,0.813,0.800,0.625,0.900,0.844,0.750,0.813,0.800,0.625,0.900,0.844,0.750,0.813,0.800,0.625,0.900,0.844,0.750,0.813,0.750,0.625,0.900,0.844,0.750,0.813,0.750,0.625,0.900,0.875,0.750,0.813,0.800,0.750,0.900,0.875,0.750,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ADO,Andorra,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
AFG,Afghanistan,0.047,0.150,0.000,0.200,0.094,0.250,0.174,0.100,0.000,0.200,0.094,0.000,0.174,0.100,0.000,0.200,0.094,0.000,0.180,0.100,0.000,0.200,0.094,0.000,0.159,0.100,0.000,0.200,0.094,0.000,0.159,0.100,0.000,0.200,0.094,0.000,0.170,0.100,0.000,0.200,0.094,0.000,0.170,0.100,0.000,0.150,0.094,0.000,0.155,0.100,0.000,0.150,0.094,0.000,0.155,0.100,0.000,0.150,0.094,0.000,0.155,0.100,0.000,0.150,0.094,0.000,0.155,0.100,0.000,0.150,0.094,0.000,0.182,0.100,0.000,0.150,0.094,0.000,0.302,..,..,..,..,..,0.306,..,..,..,..,..,0.184,0.050,0.000,0.150,0.031,0.000,0.063,0.050,0.125,0.150,0.094,0.000,0.063,0.150,0.125,0.150,0.094,0.000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
AGO,Angola,0.325,0.600,0.125,0.400,0.281,0.000,0.339,0.600,0.125,0.400,0.281,0.000,0.342,0.600,0.125,0.400,0.281,0.000,0.337,0.600,0.125,0.400,0.281,0.000,0.306,0.550,0.125,0.400,0.281,0.000,0.295,0.500,0.125,0.400,0.281,0.000,0.293,0.500,0.125,0.450,0.281,0.000,0.293,0.550,0.125,0.450,0.281,0.000,0.293,0.550,0.125,0.500,0.281,0.000,0.293,0.550,0.250,0.550,0.281,0.000,0.291,0.550,0.250,0.550,0.281,0.000,0.291,0.600,0.250,0.550,0.281,0.000,0.293,0.600,0.250,0.500,0.313,0.000,0.324,0.650,0.125,0.500,0.281,0.000,0.246,0.425,0.000,0.500,0.250,0.000,0.214,0.350,0.000,0.450,0.281,0.000,0.188,0.350,0.125,0.150,0.156,0.000,0.125,0.450,0.000,0.200,0.156,0.000,0.063,0.300,0.000,0.200,0.063,0.000,0.063,0.200,0.000,0.200,0.063,0.000,0.063,0.150,0.000,0.200,0.063,0.000,0.063,0.150,0.000,0.200,0.063,0.000,0.063,0.150,0.000,0.200,0.063,0.000
AIA,Anguilla,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ALB,Albania,0.556,0.550,0.250,0.600,0.438,0.250,0.554,0.600,0.250,0.650,0.406,0.250,0.576,0.550,0.250,0.650,0.375,0.250,0.580,0.600,0.250,0.600,0.375,0.250,0.580,0.600,0.250,0.600,0.375,0.250,0.577,0.550,0.250,0.600,0.375,0.250,0.577,0.550,0.250,0.550,0.375,0.000,0.565,0.550,0.250,0.550,0.375,0.000,0.565,0.450,0.250,0.550,0.375,0.000,0.534,0.350,0.250,0.550,0.375,0.000,0.541,0.300,0.250,0.550,0.375,0.000,0.543,0.450,0.250,0.550,0.375,0.250,0.546,0.450,0.250,0.550,0.375,0.250,0.546,0.500,0.250,0.550,0.375,0.250,0.546,0.500,0.250,0.550,0.375,0.250,0.546,0.550,0.250,0.550,0.375,0.250,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ANT,Netherlands Antilles (former),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ARE,United Arab Emirates,0.239,0.800,0.750,0.650,0.719,0.750,0.188,0.800,0.750,0.700,0.719,0.750,0.232,0.800,0.750,0.750,0.719,0.750,0.232,0.800,0.750,0.700,0.688,0.750,0.228,0.800,0.750,0.700,0.688,0.750,0.231,0.750,0.750,0.700,0.688,0.750,0.231,0.750,0.625,0.700,0.625,0.500,0.226,0.750,0.500,0.650,0.594,0.500,0.220,0.750,0.500,0.650,0.594,0.500,0.223,0.750,0.500,0.650,0.594,0.500,0.223,0.750,0.500,0.650,0.594,0.500,0.220,0.750,0.500,0.700,0.594,0.500,0.224,0.750,0.500,0.700,0.594,0.500,0.255,0.650,0.500,0.700,0.625,0.750,0.246,0.650,0.500,0.775,0.516,0.750,0.246,0.750,0.500,0.800,0.531,0.750,0.250,0.750,0.500,0.800,0.531,0.750,0.250,0.750,0.500,0.800,0.531,0.750,0.250,0.750,0.500,0.800,0.531,0.750,0.250,0.700,0.500,0.800,0.531,0.750,0.250,0.750,0.500,0.750,0.563,0.250,0.250,0.750,0.500,0.750,0.563,0.250,0.250,0.750,0.500,0.750,0.563,0.250
ARG,Argentina,0.622,0.550,0.375,0.400,0.469,0.500,0.629,0.550,0.375,0.400,0.438,0.500,0.632,0.550,0.375,0.450,0.438,0.500,0.632,0.600,0.500,0.550,0.531,0.500,0.629,0.650,0.500,0.450,0.531,0.500,0.629,0.550,0.500,0.350,0.531,0.500,0.601,0.550,0.375,0.200,0.375,0.250,0.592,0.500,0.375,0.200,0.344,0.250,0.592,0.500,0.375,0.200,0.344,0.250,0.592,0.500,0.375,0.200,0.344,0.250,0.623,0.500,0.375,0.300,0.375,0.250,0.623,0.550,0.375,0.300,0.375,0.250,0.613,0.550,0.375,0.300,0.375,0.250,0.613,0.650,0.375,0.300,0.406,0.250,0.613,0.600,0.375,0.275,0.391,0.250,0.613,0.550,0.375,0.250,0.375,0.250,0.563,0.600,0.375,0.350,0.375,0.250,0.563,0.550,0.375,0.400,0.375,0.250,0.500,0.500,0.375,0.400,0.344,0.250,0.500,0.350,0.375,0.350,0.344,0.250,0.375,0.600,0.375,0.650,0.438,0.250,0.375,0.550,0.500,0.650,0.500,0.250,0.375,0.550,0.625,0.650,0.500,0.250
ARM,Armenia,0.493,0.250,0.375,0.500,0.500,0.500,0.486,0.350,0.375,0.500,0.500,0.500,0.496,0.400,0.375,0.500,0.500,0.250,0.458,0.400,0.375,0.500,0.500,0.250,0.393,0.400,0.375,0.500,0.500,0.250,0.382,0.450,0.375,0.450,0.500,0.250,0.388,0.450,0.375,0.500,0.500,0.250,0.363,0.400,0.375,0.450,0.500,0.250,0.326,0.400,0.375,0.450,0.438,0.250,0.330,0.350,0.250,0.650,0.406,0.250,0.330,0.350,0.250,0.650,0.406,0.250,0.330,0.400,0.250,0.650,0.406,0.250,0.349,0.250,0.250,0.650,0.406,0.250,0.349,0.300,0.250,0.650,0.438,0.250,0.333,0.400,0.250,0.650,0.438,0.250,0.333,0.350,0.250,0.650,0.438,0.250,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
